step,subplatoon,hdv_idx,actual_spacing,actual_velocity,substitute_spacing,substitute_velocity
1.720000000000000000e+03,2.000000000000000000e+00,1.000000000000000000e+00,2.229694196102263959e+01,1.979338130977227905e+01,2.228078879511544841e+01,1.978436951015660838e+01
1.720000000000000000e+03,4.000000000000000000e+00,2.000000000000000000e+00,4.238934467713261256e+01,2.001964210126181598e+01,4.239943770419175451e+01,2.001358367341737221e+01
1.721000000000000000e+03,2.000000000000000000e+00,1.000000000000000000e+00,2.228967098904377053e+01,1.979059871162532502e+01,2.225841005839582110e+01,1.977370271484851827e+01
1.721000000000000000e+03,4.000000000000000000e+00,2.000000000000000000e+00,4.242504976870168321e+01,2.002083075478546803e+01,4.244595518039817961e+01,2.000869800807465282e+01
1.722000000000000000e+03,2.000000000000000000e+00,1.000000000000000000e+00,2.228247832723536703e+01,1.978786588719255235e+01,2.223702524414759196e+01,1.976413127873279763e+01
1.722000000000000000e+03,4.000000000000000000e+00,2.000000000000000000e+00,4.246068111773638520e+01,2.002224867273125497e+01,4.249312495506384835e+01,2.000398171434807182e+01
1.723000000000000000e+03,2.000000000000000000e+00,1.000000000000000000e+00,2.227534839957752411e+01,1.978517469809589002e+01,2.221651134559087737e+01,1.975534999754110999e+01
1.723000000000000000e+03,4.000000000000000000e+00,2.000000000000000000e+00,4.249619811198272146e+01,2.002388173995234766e+01,4.254092221879194824e+01,1.999939781088014001e+01
1.724000000000000000e+03,2.000000000000000000e+00,1.000000000000000000e+00,2.226828262366325362e+01,1.978252650897993092e+01,2.219680497486812598e+01,1.974697484458288343e+01
1.724000000000000000e+03,4.000000000000000000e+00,2.000000000000000000e+00,4.253156072522506292e+01,2.002571595173423802e+01,4.258932084228202086e+01,1.999491165973180884e+01
1.920000000000000000e+03,2.000000000000000000e+00,1.000000000000000000e+00,2.116455758479878568e+01,1.962707136653821394e+01,2.114822728986187883e+01,1.961555614701666173e+01
1.920000000000000000e+03,4.000000000000000000e+00,2.000000000000000000e+00,4.243787051347862871e+01,1.982612347895513949e+01,4.244735082328629971e+01,1.981751339348528518e+01
1.921000000000000000e+03,2.000000000000000000e+00,1.000000000000000000e+00,2.115936816167504730e+01,1.962683131982887375e+01,2.112808039026359808e+01,1.960433882529808258e+01
1.921000000000000000e+03,4.000000000000000000e+00,2.000000000000000000e+00,4.243265400382551888e+01,1.982477399690685260e+01,4.245267471014871319e+01,1.980769062151967574e+01
1.922000000000000000e+03,2.000000000000000000e+00,1.000000000000000000e+00,2.115423093712615810e+01,1.962662645843258602e+01,2.110926448762258190e+01,1.959413694127469796e+01
1.922000000000000000e+03,4.000000000000000000e+00,2.000000000000000000e+00,4.242744371891876654e+01,1.982343486853324066e+01,4.245905103595099206e+01,1.979798048838813074e+01
1.923000000000000000e+03,2.000000000000000000e+00,1.000000000000000000e+00,2.114910498384961102e+01,1.962643276223509758e+01,2.109161635823030423e+01,1.958510587687718640e+01
1.923000000000000000e+03,4.000000000000000000e+00,2.000000000000000000e+00,4.242223369339080818e+01,1.982210444670970517e+01,4.246645469342137602e+01,1.978832614070464757e+01
1.924000000000000000e+03,2.000000000000000000e+00,1.000000000000000000e+00,2.114395726224029204e+01,1.962623044215561308e+01,2.107497258060419654e+01,1.957705680237806689e+01
1.924000000000000000e+03,4.000000000000000000e+00,2.000000000000000000e+00,4.241701885375914571e+01,1.982078129697239177e+01,4.247487537411029734e+01,1.977867051406521171e+01
