metric,value
RMSVE,2.123464876324459
RMSSE,10.336689111100904
dec_q_spa,2.5
dec_q_vel,1.5
dec_qa_spa,0.0
dec_qa_vel,0.0
dec_r,20.0
dec_rd,30.0
dist_q1_spa,0.125
dist_q1_vel,0.1
dist_q2_spa,0.125
dist_q2_vel,0.1
dist_qa_spa,0.125
dist_qa_vel,0.5
dist_q4_spa,0.125
dist_q4_vel,1.0
dist_r,20.0
dist_rd,30.0
dist_term_refs,weighted
AvgControlTime_s,0.010526558886403622
AvgUpdateTime_s,0.045784507303134256
AvgTotalTime_s,0.05631106618953788
SignalDelayEnabled,1
SignalDelayEvents,100
SlackEnabled,0
