metric,value
RMSVE,2.6843106486620387
RMSSE,10.676463091207493
dec_q_spa,2.5
dec_q_vel,1.5
dec_qa_spa,0.0
dec_qa_vel,0.0
dec_r,20.0
dec_rd,30.0
dist_q1_spa,0.125
dist_q1_vel,0.1
dist_q2_spa,0.125
dist_q2_vel,0.1
dist_qa_spa,0.125
dist_qa_vel,0.5
dist_q4_spa,0.125
dist_q4_vel,1.0
dist_r,20.0
dist_rd,30.0
dist_term_refs,weighted
AvgControlTime_s,0.008138632234455883
AvgUpdateTime_s,0.040074801164260807
AvgTotalTime_s,0.04821343339871669
SignalDelayEnabled,0
SignalDelayEvents,0
SlackEnabled,0
