metric,value
RMSVE,4.738430576594224
RMSSE,10.377762972306316
dec_q_spa,2.5
dec_q_vel,1.5
dec_qa_spa,0.0
dec_qa_vel,0.0
dec_r,20.0
dec_rd,30.0
dist_q1_spa,0.125
dist_q1_vel,0.1
dist_q2_spa,0.125
dist_q2_vel,0.1
dist_qa_spa,0.125
dist_qa_vel,0.5
dist_q4_spa,0.125
dist_q4_vel,1.0
dist_r,20.0
dist_rd,30.0
dist_term_refs,weighted
AvgControlTime_s,0.009659110669282217
AvgUpdateTime_s,0.05056161819163626
AvgTotalTime_s,0.06022072886091848
SignalDelayEnabled,0
SignalDelayEvents,0
SlackEnabled,0
