metric,value
RMSVE,3.1996696087485192
RMSSE,12.065453231115137
AvgControlTime_s,0.13199460027010543
weight_s,5.0
weight_v,1.5
weight_u,20.0
lambda_gi,100
lambda_yi,100000.0
disturbance_method,time-varying
Ts_down,7
n_vertices,8
warm_start,True
