metric,value
RMSVE,3.959770193723885
RMSSE,14.369676965494465
dec_q_spa,2.5
dec_q_vel,1.5
dec_qa_spa,0.0
dec_qa_vel,0.0
dec_r,20.0
dec_rd,30.0
dist_q1_spa,0.125
dist_q1_vel,0.1
dist_q2_spa,0.125
dist_q2_vel,0.1
dist_qa_spa,0.125
dist_qa_vel,0.5
dist_q4_spa,0.125
dist_q4_vel,1.0
dist_r,20.0
dist_rd,30.0
dist_term_refs,weighted
AvgControlTime_s,0.009791264304885635
AvgUpdateTime_s,0.04196536719978035
AvgTotalTime_s,0.05175663150466598
SignalDelayEnabled,0
SignalDelayEvents,0
SlackEnabled,0
