position,velocity,acceleration
-443.0750789213415,19.444444444444443,-5.270894831710393e-16
-440.7417455880082,19.444444444444443,0.001107669562968608
-438.4083963042332,19.444577364792,0.0021667673676885146
-436.07501581900806,19.444837376876123,0.0031780229890729394
-433.7415895702519,19.44521873963481,0.004142385273170012
-431.4081036711478,19.44571582586759,0.005060988642231475
-429.07454489380723,19.44632314450466,0.005935122321694042
-426.7409006507052,19.447035359183264,0.0067662023114661045
-424.4071589742899,19.44784730346064,0.007555745931825985
-422.07330849513323,19.44875399297246,0.00830534878143347
-419.7393384189541,19.44975063482623,0.009016663952574113
-417.40523850281403,19.45083263450054,0.009691383355570809
-415.0709990307536,19.451995600503206,0.010331221011352266
-412.73661078911067,19.45323534702457,0.010937898177756537
-410.402065041734,19.454547894805902,0.01151313018169538
-408.06735350528265,19.455929470427705,0.012058614835464707
-405.7324683247777,19.45737650420796,0.012576022321651765
-403.3974020495513,19.45888562688656,0.013066986436758066
-401.0621476097202,19.46045366525897,0.013533097089523757
-398.72669829329107,19.462077636909715,0.013975893955099674
-396.39104772398895,19.463754744184328,0.014396861191711885
-394.05518983988566,19.465482367527333,0.014797423131383372
-391.7191188728893,19.4672580583031,0.0151789408611792
-389.3828293291445,19.46907953120644,0.015542709616136805
-387.0463159703813,19.470944656360377,0.01588995690958684
-384.70957379623854,19.472851451189527,0.01622184133095482
-382.37259802758064,19.47479807214924,0.016539451945185614
-380.0353840908147,19.476782806382662,0.01684380823217481
-377.69792760321025,19.47880406337052,0.017135860508247645
-375.36022435921444,19.48086036663151,0.01741649077557531
-373.0222703177515,19.48295034552458,0.01768651394901365
-370.6840615904877,19.48507272719846,0.017946679413009575
-368.34559443104035,19.48722632872802,0.018197672864934674
-366.00686522510375,19.48941004947181,0.018440118403846517
-363.6678704814621,19.491622863680274,0.018674580827024622
-361.32860682385655,19.493863813379516,0.018901568099305384
-358.9890709836704,19.496132001551434,0.01912153396300384
-356.6492597933952,19.498426585626994,0.019334880658774107
-354.30917018083846,19.500746771306048,0.019541961730252785
-351.9687991640328,19.503091806713677,0.01974308488766548
-349.6281438468048,19.505460976900196,0.019938514907663366
-347.2872014149621,19.507853598689117,0.02012847654895924
-344.94596913305713,19.510269015874993,0.020313157465065387
-342.60444434168465,19.5127065947708,0.020492711097569196
-340.2626244552724,19.51516572010251,0.020667259534805072
-337.92050696032277,19.517645791246686,0.020836896322753592
-335.57808941406614,19.520146218805415,0.02100168921629999
-333.2353694434848,19.52266642151137,0.021161682860532275
-330.89234474467025,19.525205823454634,0.02131690139315491
-328.54901308247565,19.527763851621813,0.02146735096015698
-326.2053722904272,19.530339933737032,0.021613022138330017
-323.86173149837873,19.532933496393632,0.021757846933212477
-321.5177794788115,19.535544438025617,0.02189759417303705
-319.17351414624846,19.538172149326382,0.02203224455522938
-316.8289334883293,19.54081601867301,0.02216177240417968
-314.48403556608855,19.54347543136151,0.022286147111068765
-312.1388185143252,19.54614976901484,0.022405334515518405
-309.7932805420434,19.5488384091567,0.022519298224654705
-307.4474199329446,19.55154072494366,0.022628000866890357
-305.1012350459514,19.554256085047687,0.022731405277879684
-302.75472431574565,19.556983853681032,0.022829475616662858
-300.4078862533039,19.559723390755032,0.02292217841048938
-298.0607194464133,19.56247405216429,0.023009483527669516
-295.7132225601536,19.56523519018761,0.02309136507723982
-293.3653943373311,19.56800615399688,0.023167802236182904
-291.0172335988515,19.57078629026522,0.02323878000340211
-288.66873924401966,19.57357494386563,0.02330428988193134
-286.3199102507558,19.57637145865146,0.02336433048932089
-283.97074567571764,19.57917517831018,0.02341890809806439
-281.62124465432044,19.581985447281948,0.023468037106688655
-279.2714064006466,19.58480161173475,0.023511740443519596
-276.9212302072384,19.587623020587973,0.02355004990487094
-274.57071544476787,19.590449026576557,0.023583006429076885
-272.2198615615787,19.593278987348047,0.023610660308944396
-269.8686680830969,19.59611226658512,0.02363307134454947
-267.5171346111067,19.598948235146466,0.023650308938745944
-265.16526082288914,19.601786272219115,0.023662452137607204
-262.81304647022284,19.60462576647563,0.023669589618435793
-260.46049137824576,19.60746611722984,0.02367181962779815
-258.1075954441782,19.610306735585176,0.023669249872101027
-255.75435863590795,19.61314704556983,0.023661997363314907
-253.40078099043956,19.615986485253426,0.02365018822242012
-251.04686261220914,19.618824507840117,0.02363395744350664
-248.69260367126833,19.621660582733337,0.023613448620333582
-246.33800440134033,19.624494196567777,0.02358881363922668
-243.9830650977522,19.627324854204485,0.023560212339557296
-241.62778611524766,19.63015207968523,0.02352781214538524
-239.27216786568542,19.632975417142678,0.02349178767036738
-236.9162108156283,19.635794431663122,0.023452320298270973
-234.55991548382872,19.638608710098914,0.02340959774208192
-232.20328243861684,19.641417861827964,0.023363813583513842
-229.8463122951975,19.644221519457986,0.023315166795760216
-227.48900571286254,19.647019339473477,0.023263861251177076
-225.1313633921257,19.64981100282362,0.023210105217064125
-222.77338607178686,19.652596215449666,0.023154110840521252
-220.4150745259329,19.65537470875053,0.023096093625548285
-218.05642956088283,19.658146239985594,0.023036271903631445
-215.69745201208457,19.66091059261403,0.022974866300244184
-213.33814274097088,19.66366757657006,0.02291209919883149
-210.97850263178248,19.66641702847392,0.022848194204379745
-208.6185325883656,19.669158811778445,0.022783375607815515
-206.2582335309522,19.671892816851383,0.02271786785354261
-203.89760639293004,19.674618960993808,0.02265189501091669
-201.5366521176108,19.677337188395118,0.02258568025181873
-199.17537165500337,19.680047470025336,0.02251944533524508
-196.81376595860033,19.682749803465565,0.0224534101006905
-194.45183598218446,19.68544421267765,0.0223877919710939
-192.08958267666316,19.68813074771418,0.0223228054667383
-189.72700698693745,19.690809484370188,0.022258661731496453
-187.36410984881303,19.693480523777968,0.022195568071807042
-185.00089218595969,19.696143991946585,0.02213372751006896
-182.6373549069261,19.698800039247793,0.022073338352453696
-180.27349890221637,19.701448839850087,0.022014593773000968
-177.90932504143436,19.704090591102847,0.021957681413642405
-175.544834170502,19.706725512872485,0.02190278300172229
-173.18002710895732,19.70935384683269,0.02185007398492663
-170.81490464733739,19.711975855710882,0.02179972318456791
-168.44946754465207,19.71459182249303,0.021751892467580802
-166.0837165259529,19.71720204958914,0.021706736437584105
-163.7176522800022,19.71980685796165,0.021664402145245752
-161.3512754570468,19.72240658621908,0.021625028818454222
-158.9845866667005,19.725001589677294,0.02158874761250355
-156.61758647593922,19.727592239390795,0.021555681380084717
-154.2502754072123,19.730178921156405,0.021525944461882794
-151.88265393667353,19.73276203449183,0.021499642496950837
-149.5147224925345,19.735341991591465,0.021476872253748763
-147.14648145354352,19.737919216261915,0.02145772148125502
-144.77793114759208,19.740494142839665,0.02144226878018074
-142.4090718504513,19.743067215093287,0.02143058349428628
-140.03990378464013,19.7456388851126,0.02142272562156341
-137.67042711842663,19.74820961218719,0.02141874574498696
-135.30064196496417,19.750779861676588,0.021418684982628854
-132.93054838156297,19.753350103874503,0.021422574957134326
-130.56014636909802,19.75592081286936,0.02143043778364273
-128.1894358715537,19.758492465403396,0.021442286076508076
-125.8184167757053,19.761065539732577,0.021458122973783134
-123.4470889109374,19.76364051448943,0.02147794217973361
-121.07545204919866,19.766217867551,0.021501728024168425
-118.70350590509254,19.7687980749139,0.02152945553900073
-116.33125013610287,19.77138160957858,0.021561090550707245
-113.95868434295343,19.773968940444664,0.021596589788952514
-111.58580807010007,19.77656053121934,0.021635901010075287
-109.21262080635375,19.779156839340548,0.021678963135496332
-106.83912198563289,19.781758314916807,0.021725706404129852
-104.46531098784287,19.784365399685303,0.021776052538058366
-102.09118713988063,19.78697852598987,0.021829914920878934
-99.71674971676185,19.789598115780375,0.021887198788010192
-97.3419979428682,19.792224579634937,0.021947801428071994
-94.96693099331202,19.794858315806305,0.022011612394212676
-92.59154799541527,19.79749970929361,0.022078513724969422
-90.21584803030004,19.800149130940607,0.02214838017288538
-87.83983013458716,19.802806936561353,0.022221079440469065
-85.4634933021998,19.80547346609421,0.02229647242166048
-83.0868364862685,19.80814904278481,0.022374413448004542
-80.70985860113431,19.81083397239857,0.022454750537696338
-78.33255852444648,19.813528542463093,0.022537325646461902
