-1.400165968402086847e+00,1.353937094258358620e+00,-2.821174837284774473e-01,3.029834681425868093e-01,-2.060884396558425813e+00,2.139234930702536452e+00,-5.611795305576797732e-01,5.648134231363494129e-01,-2.192898153362983216e+00,2.140760941747168467e+00,-3.251216963138134353e-01,3.123791693552585014e-01,-2.398683154818495922e+00,2.361243372434572052e+00,-4.917227109566899013e-01,4.930422641810899287e-01,-2.287925764146754304e+00,2.508705109997297455e+00,-4.089325843206834121e-01,4.174608783945268908e-01,-2.368237092992106607e+00,2.341728649145684127e+00,-3.895540235200589119e-01,4.575876936161372144e-01,-2.337323404675246241e+00,2.387039927775484127e+00,-4.082830662372227137e-01,4.302391953913534128e-01,-2.516590122569769772e+00,2.413371030146044927e+00,-3.296514917150553670e-01,3.290359971042753351e-01,-2.273814664540277697e+00,2.336187215916206483e+00,-3.413461028030088662e-01,3.755459904791423331e-01,-2.214891033283433952e+00,2.349931849621231361e+00,-4.839487670078860271e-01,4.621245226091738045e-01,-2.279278494910125463e+00,2.336844752443807405e+00,-6.752352802635979145e-01,5.913311397678275849e-01,-2.950248230204455258e+00,2.669104635930185321e+00,-6.987479651716330675e-01,5.853308385713384965e-01,-3.534295642586349651e+00,2.658286054252535280e+00,-9.682278811849061029e-01,9.147741561795141862e-01,-3.213540864270042263e+00,2.409766255816361280e+00,-9.853463113516574001e-01,7.897771313332191401e-01,-3.927555920798243783e+00,3.145652838977436083e+00,-9.026255069502839845e-01,7.696344193508857234e-01
-1.058926178778966554e+00,1.016938263688672128e+00,-2.140463239327403677e-01,2.307013227602575656e-01,-2.060884396558426257e+00,2.139234624470639279e+00,-5.611743102698908414e-01,5.648134231363494129e-01,-2.192877547057364929e+00,2.140760941747168467e+00,-3.251196765797316202e-01,3.123791693552585569e-01,-2.398644382949172371e+00,2.361243372434571608e+00,-4.917163388760392162e-01,4.930422641810899287e-01,-2.287880690918167925e+00,2.508705109997297900e+00,-4.089307650911325753e-01,4.174608783945269463e-01,-2.368150601352436269e+00,2.341728649145684571e+00,-3.895540235200589674e-01,4.575835493991378122e-01,-2.337214668063549716e+00,2.387039927775483683e+00,-4.082828235650201587e-01,4.302391953913534128e-01,-2.516443358873166058e+00,2.413371030146044927e+00,-3.296514917150553670e-01,3.290351660077260876e-01,-2.273622861476749080e+00,2.336187215916206483e+00,-3.413461028030088662e-01,3.755448903551870665e-01,-2.214657268442228322e+00,2.349931849621230917e+00,-4.839487670078860271e-01,4.621227340725503341e-01,-2.278988309581129190e+00,2.336844752443807405e+00,-6.752352802635978035e-01,5.913301980180131201e-01,-2.949900477773569563e+00,2.669104635930185765e+00,-6.987449649672381469e-01,5.853308385713384965e-01,-3.533882252398814927e+00,2.658286054252535280e+00,-9.682265777043134181e-01,9.147741561795140752e-01,-3.213050708795283317e+00,2.409766255816360836e+00,-9.853463113516572891e-01,7.897756619279022727e-01,-3.926986803777531509e+00,3.145652838977436527e+00,-9.026254825006769789e-01,7.696344193508857234e-01
-8.200583260427825039e-01,7.810390822898918284e-01,-1.663965120757243954e-01,1.801038209926270894e-01,-1.559321993080888147e+00,1.610012324780938142e+00,-4.235468748234026415e-01,4.274634716627105369e-01,-2.192857651932806018e+00,2.140760941747168022e+00,-3.251177265523041426e-01,3.123791693552585014e-01,-2.398606949205159378e+00,2.361243372434571608e+00,-4.917101867136578486e-01,4.930422641810899842e-01,-2.287837173292368576e+00,2.508705109997297455e+00,-4.089290086482657016e-01,4.174608783945268908e-01,-2.368067094780399007e+00,2.341728649145684127e+00,-3.895540235200588564e-01,4.575795482106214118e-01,-2.337109684255493480e+00,2.387039927775484127e+00,-4.082825892681120061e-01,4.302391953913534683e-01,-2.516301660400925844e+00,2.413371030146044927e+00,-3.296514917150553670e-01,3.290343635946358924e-01,-2.273437678071712043e+00,2.336187215916206483e+00,-3.413461028030088662e-01,3.755438281995767125e-01,-2.214431571477455396e+00,2.349931849621231361e+00,-4.839487670078860271e-01,4.621210072633122889e-01,-2.278708139356906859e+00,2.336844752443807405e+00,-6.752352802635979145e-01,5.913292887706105283e-01,-2.949564727248646268e+00,2.669104635930185321e+00,-6.987420683082619099e-01,5.853308385713384965e-01,-3.533483129459231264e+00,2.658286054252535280e+00,-9.682253192104703921e-01,9.147741561795141862e-01,-3.212577469952567988e+00,2.409766255816360392e+00,-9.853463113516574001e-01,7.897742432358596520e-01,-3.926437328571965146e+00,3.145652838977436083e+00,-9.026254588948938729e-01,7.696344193508857234e-01
-6.566186957946803515e-01,6.196306945893134133e-01,-1.337932649577307509e-01,1.454836873678962417e-01,-1.208228310646611403e+00,1.239557851616629458e+00,-3.272270457702765034e-01,3.313185056311632737e-01,-1.670541259975420134e+00,1.623824442489157915e+00,-2.495951039678253602e-01,2.412068441333517499e-01,-2.398724652288827475e+00,2.361243372434571608e+00,-4.917295309845186035e-01,4.930422641810899287e-01,-2.287974005951926237e+00,2.508705109997297455e+00,-4.089345314391905073e-01,4.174608783945268908e-01,-2.368329664857065087e+00,2.341728649145684127e+00,-3.895540235200589674e-01,4.575921291650284495e-01,-2.337439785298533579e+00,2.387039927775484571e+00,-4.082833259688968264e-01,4.302391953913534683e-01,-2.516747203521807474e+00,2.413371030146044927e+00,-3.296514917150553670e-01,3.290368866255958258e-01,-2.274019951055403332e+00,2.336187215916206483e+00,-3.413461028030088662e-01,3.755471679400693152e-01,-2.215141231422750767e+00,2.349931849621231361e+00,-4.839487670078860271e-01,4.621264368770893194e-01,-2.279589079808167718e+00,2.336844752443806961e+00,-6.752352802635978035e-01,5.913321477211624932e-01,-2.950620429080478946e+00,2.669104635930185321e+00,-6.987511762856453146e-01,5.853308385713384965e-01,-3.534738093449360186e+00,2.658286054252535280e+00,-9.682292762981199452e-01,9.147741561795141862e-01,-3.214065476898391172e+00,2.409766255816360836e+00,-9.853463113516574001e-01,7.897787040354027344e-01,-3.928165045844173253e+00,3.145652838977436527e+00,-9.026255331186596731e-01,7.696344193508857234e-01
-5.425785482888809685e-01,5.070078483793383217e-01,-1.110443202564978943e-01,1.213274583110782873e-01,-9.714486432988578279e-01,9.897229740224586791e-01,-2.622994423049669344e-01,2.664777687763428826e-01,-1.342287410717545537e+00,1.298827449412172985e+00,-2.021264731014217331e-01,1.964609387453244982e-01,-1.819131053498467265e+00,1.783079475679491877e+00,-3.734713061351314645e-01,3.755810174700450199e-01,-2.288334483980965839e+00,2.508705109997297900e+00,-4.089490809246260627e-01,4.174608783945268908e-01,-2.369021391116186592e+00,2.341728649145684571e+00,-3.895540235200589119e-01,4.576252729894832449e-01,-2.338309418131543360e+00,2.387039927775483683e+00,-4.082852667661288626e-01,4.302391953913534683e-01,-2.517920962086372061e+00,2.413371030146044927e+00,-3.296514917150553670e-01,3.290435334102930209e-01,-2.275553916836695389e+00,2.336187215916206927e+00,-3.413461028030088107e-01,3.755559663005935134e-01,-2.217010791067329567e+00,2.349931849621231361e+00,-4.839487670078860271e-01,4.621407408925130023e-01,-2.281909868416672538e+00,2.336844752443806961e+00,-6.752352802635979145e-01,5.913396794673364543e-01,-2.953401616823404741e+00,2.669104635930185321e+00,-6.987751707453474515e-01,5.853308385713383855e-01,-3.538044226262544001e+00,2.658286054252535280e+00,-9.682397010253838143e-01,9.147741561795141862e-01,-3.217985548413211827e+00,2.409766255816360836e+00,-9.853463113516572891e-01,7.897904557636262757e-01,-3.932716620877781288e+00,3.145652838977436083e+00,-9.026257286570413818e-01,7.696344193508857234e-01
-4.638571250273915147e-01,4.292647821056101431e-01,-9.534082158742696045e-02,1.046525173050035784e-01,-8.057028761554304586e-01,8.148407984027113971e-01,-2.168882825865498243e-01,2.210892529779685811e-01,-1.126577104396250251e+00,1.085101308040546497e+00,-1.709253653051066579e-01,1.670349135682313024e-01,-1.413698974561601762e+00,1.378364747950936220e+00,-2.907371315839977766e-01,2.933581447723136448e-01,-1.736004775946186074e+00,1.892366192069080411e+00,-3.113376689039664691e-01,3.188717920633281078e-01,-2.370137893206684332e+00,2.341728649145684571e+00,-3.895540235200588564e-01,4.576787698009791017e-01,-2.339713075811467480e+00,2.387039927775484127e+00,-4.082883993697249414e-01,4.302391953913534683e-01,-2.519815503277766489e+00,2.413371030146044482e+00,-3.296514917150553670e-01,3.290542618580158951e-01,-2.278029861589375926e+00,2.336187215916206483e+00,-3.413461028030088107e-01,3.755701675656007987e-01,-2.220028411439487037e+00,2.349931849621230917e+00,-4.839487670078860271e-01,4.621638287295185554e-01,-2.285655808806862144e+00,2.336844752443807405e+00,-6.752352802635979145e-01,5.913518363144092405e-01,-2.957890678627977277e+00,2.669104635930185321e+00,-6.988138997426414090e-01,5.853308385713384965e-01,-3.543380591838819260e+00,2.658286054252535724e+00,-9.682565273777588022e-01,9.147741561795141862e-01,-3.224312860675080827e+00,2.409766255816361280e+00,-9.853463113516572891e-01,7.898094240028038504e-01,-3.940063230859790711e+00,3.145652838977436527e+00,-9.026260442717934929e-01,7.696344193508857234e-01
-4.096004641263226165e-01,3.756824279069091443e-01,-8.451760006845099316e-02,9.315975482398636265e-02,-6.896808391550312001e-01,6.924258473091976507e-01,-1.851443125475243645e-01,1.893172919191065950e-01,-9.757529487799052603e-01,9.354930090804081111e-01,-1.491015522659036585e-01,1.464366959442660598e-01,-1.130222138736814763e+00,1.095064438540946927e+00,-2.328767243128081754e-01,2.358021338839016712e-01,-1.357025737395325837e+00,1.469036514830429851e+00,-2.443092869480271712e-01,2.511563113727177665e-01,-1.816473265366945089e+00,1.785417879060789748e+00,-2.996936164288969695e-01,3.524402122554937677e-01,-2.341608843475307289e+00,2.387039927775483683e+00,-4.082926302364711102e-01,4.302391953913533573e-01,-2.522374253876169536e+00,2.413371030146044927e+00,-3.296514917150553670e-01,3.290687516047448025e-01,-2.281373850702049566e+00,2.336187215916206483e+00,-3.413461028030088662e-01,3.755893476686782972e-01,-2.224103982859142903e+00,2.349931849621230917e+00,-4.839487670078859716e-01,4.621950109582408373e-01,-2.290715042809539970e+00,2.336844752443807405e+00,-6.752352802635979145e-01,5.913682552446828389e-01,-2.963953565848845617e+00,2.669104635930185321e+00,-6.988662067842892345e-01,5.853308385713384965e-01,-3.550587840049420407e+00,2.658286054252535280e+00,-9.682792529006474247e-01,9.147741561795141862e-01,-3.232858472726101162e+00,2.409766255816360392e+00,-9.853463113516572891e-01,7.898350423390886332e-01,-3.949985497408060375e+00,3.145652838977436083e+00,-9.026264705382899267e-01,7.696344193508858345e-01
-3.739586367179066895e-01,3.404835603619826290e-01,-7.740770080491568561e-02,8.561002636684381106e-02,-6.084654132547517857e-01,6.067382052247143331e-01,-1.629716683729627857e-01,1.670769191779031826e-01,-8.703660449836050361e-01,8.307671998083110410e-01,-1.338435065566657700e-01,1.320179436074904178e-01,-9.321458585129278607e-01,8.967542219539546000e-01,-1.924331944441974862e-01,1.955129262620132757e-01,-1.092156018381744920e+00,1.172705740763374083e+00,-1.974061941993700831e-01,2.037554748892906054e-01,-1.429705541745804220e+00,1.396000340001363194e+00,-2.367913314650836321e-01,2.788114346705648505e-01,-1.777695909107461336e+00,1.800277305962945995e+00,-3.106351235586383708e-01,3.282314170500791328e-01,-2.525518647392863691e+00,2.413371030146044482e+00,-3.296514917150553670e-01,3.290865577425142741e-01,-2.285483206921584465e+00,2.336187215916206927e+00,-3.413461028030088662e-01,3.756129176843741591e-01,-2.229112364823680359e+00,2.349931849621230917e+00,-4.839487670078859161e-01,4.622333301277181672e-01,-2.296932226542642841e+00,2.336844752443807405e+00,-6.752352802635979145e-01,5.913884321145723710e-01,-2.971404117411645007e+00,2.669104635930185321e+00,-6.989304857815221705e-01,5.853308385713384965e-01,-3.559444672192719317e+00,2.658286054252535280e+00,-9.683071798064113445e-01,9.147741561795141862e-01,-3.243359991375938556e+00,2.409766255816360392e+00,-9.853463113516572891e-01,7.898665241609482690e-01,-3.962178757128161699e+00,3.145652838977436083e+00,-9.026269943680093055e-01,7.696344193508858345e-01
-3.508580464434409296e-01,3.176700663185055284e-01,-7.279955128728256286e-02,8.071680970391974241e-02,-5.516146151245562290e-01,5.467598569871936487e-01,-1.475019788113685615e-01,1.515086582590607911e-01,-7.967971641485847023e-01,7.574591333178433139e-01,-1.231826689370336264e-01,1.219248169717474378e-01,-7.938724455425383297e-01,7.579370703430601264e-01,-1.641851730272947674e-01,1.673104809266914017e-01,-9.071889546456820552e-01,9.652741989164356218e-01,-1.645918586101721426e-01,1.705748893508915731e-01,-1.159815795367876712e+00,1.123408062659764672e+00,-1.927597319904142681e-01,2.273119057043464786e-01,-1.389858858363491434e+00,1.395591304644210995e+00,-2.432838686180367749e-01,2.578773788313209470e-01,-1.896094488130447342e+00,1.798956958278228324e+00,-2.491126324727816199e-01,2.499808398768375295e-01,-2.290239519632015774e+00,2.336187215916206927e+00,-3.413461028030088662e-01,3.756401984454594278e-01,-2.234909241396070723e+00,2.349931849621231361e+00,-4.839487670078859716e-01,4.622776820755906679e-01,-2.304128212588407276e+00,2.336844752443807405e+00,-6.752352802635979145e-01,5.914117855299456661e-01,-2.980027646549716636e+00,2.669104635930185765e+00,-6.990048845425980151e-01,5.853308385713384965e-01,-3.569695879692588392e+00,2.658286054252535280e+00,-9.683395033845463296e-01,9.147741561795141862e-01,-3.255514816600292960e+00,2.409766255816361280e+00,-9.853463113516574001e-01,7.899029623233899677e-01,-3.976291662675901950e+00,3.145652838977436527e+00,-9.026276006668596530e-01,7.696344193508857234e-01
-3.354766663992910791e-01,3.024798474605250309e-01,-6.973124445231272672e-02,7.745869273649334807e-02,-5.118190564334192949e-01,5.047781091337757431e-01,-1.367259716655860047e-01,1.406108756158711282e-01,-7.455072711472757740e-01,7.061434867745158828e-01,-1.157405015104377294e-01,1.148596283267273727e-01,-6.974730284593456675e-01,6.607650642154335729e-01,-1.444759778639472803e-01,1.475687691919660982e-01,-7.781676868829380256e-01,8.200721196235781774e-01,-1.416402155640741067e-01,1.473484794740122228e-01,-9.717673774971055112e-01,9.325934685206459518e-01,-1.619376123581457438e-01,1.913041322216696427e-01,-1.119472217446693785e+00,1.112311103721096872e+00,-1.961404435029619475e-01,2.086295520781901724e-01,-1.456981313699249103e+00,1.368867107970756170e+00,-1.927354310031900164e-01,1.946152395082649256e-01,-1.737122236818892995e+00,1.753434082191733578e+00,-2.593587239940787770e-01,2.861328407460560497e-01,-2.241330347585400506e+00,2.349931849621231361e+00,-4.839487670078860271e-01,4.623268100091314503e-01,-2.312099089656389328e+00,2.336844752443807405e+00,-6.752352802635979145e-01,5.914376537295051861e-01,-2.989579789955023603e+00,2.669104635930185321e+00,-6.990872948439486034e-01,5.853308385713384965e-01,-3.581050976028265165e+00,2.658286054252535724e+00,-9.683753076879556554e-01,9.147741561795140752e-01,-3.268978519424337037e+00,2.409766255816361280e+00,-9.853463113516574001e-01,7.899433242851225945e-01,-3.991924299326065739e+00,3.145652838977436527e+00,-9.026282722542660064e-01,7.696344193508857234e-01
